pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
0597C998, 20155.7, 2.87991, 5.33333, 200, 60, 560.169, 12, 12, 56.2517, 136, 143
0597C998, 20291.7, 3.48469, 4, 200, 80, 582.772, 16, 16, 76.3913, 136, 144
0597C998, 20427.7, 2.8226, 5.33333, 200, 60, 571.91, 12, 12, 57.3938, 136, 145
0597C998, 20563.7, 3.41534, 4, 200, 80, 593.353, 16, 16, 77.9424, 136, 146
0597C998, 20699.7, 2.76643, 5.33333, 200, 60, 581.063, 12, 12, 58.5594, 136, 147
0597C998, 20835.7, 3.34738, 4, 200, 80, 601.31, 16, 16, 79.525, 136, 148
0597C998, 20971.7, 2.71138, 5.33333, 200, 60, 587.542, 12, 12, 59.7481, 136, 149
0597C998, 21107.7, 3.28076, 3.76471, 200, 85, 611.581, 17, 17, 81.1397, 136, 150
0597C998, 21243.7, 2.65742, 4.92308, 200, 65, 601.324, 13, 13, 60.9613, 136, 151
0597C998, 21379.7, 3.21548, 3.76471, 200, 85, 624.129, 17, 17, 82.787, 136, 152
0597C998, 21515.7, 2.60454, 4.92308, 200, 65, 612.335, 13, 13, 62.1992, 136, 153
0597C998, 21651.7, 3.15149, 3.76471, 200, 85, 633.871, 17, 17, 84.4679, 136, 154
0597C998, 21787.7, 2.55271, 4.92308, 200, 65, 620.526, 13, 13, 63.4621, 136, 155
0597C998, 21923.7, 3.08877, 3.55556, 200, 90, 645.78, 18, 18, 86.1831, 136, 156
0597C998, 22059.7, 2.50191, 4.92308, 200, 65, 630.836, 13, 13, 64.7507, 136, 157
0597C998, 22195.7, 3.02731, 3.55556, 200, 90, 654.771, 18, 18, 87.9331, 136, 158
0597C998, 22331.7, 2.45212, 4.57143, 200, 70, 643.204, 14, 14, 66.0653, 136, 159
0597C998, 22467.7, 2.96706, 3.55556, 200, 90, 665.797, 18, 18, 89.7184, 136, 160
0597C998, 22603.7, 2.40332, 4.57143, 200, 70, 652.582, 14, 14, 67.4066, 136, 161
0597C998, 22739.7, 2.90802, 3.36842, 200, 95, 678.807, 19, 19, 91.5401, 136, 162
0597C998, 22875.7, 2.3555, 4.57143, 200, 70, 663.895, 14, 14, 68.7753, 136, 163
0597C998, 23011.7, 2.85015, 3.36842, 200, 95, 688.729, 19, 19, 93.3984, 136, 164
0597C998, 23147.7, 2.30862, 4.26667, 200, 75, 677.096, 15, 15, 70.1716, 136, 165
0597C998, 23283.7, 2.79343, 3.2, 200, 100, 705.501, 20, 20, 95.2949, 136, 166
0597C998, 23419.7, 2.26268, 4.26667, 200, 75, 692.11, 15, 15, 71.5964, 136, 167
0597C998, 23555.7, 2.73784, 3.2, 200, 100, 719.063, 20, 20, 97.2301, 136, 168
0597C998, 23691.7, 2.21765, 4.26667, 200, 75, 703.878, 15, 15, 73.0501, 136, 169
0597C998, 23827.7, 2.68336, 3.2, 200, 100, 729.342, 20, 20, 99.2041, 136, 170
0597C998, 23963.7, 2.17352, 4.26667, 200, 75, 712.325, 15, 15, 74.5332, 136, 171
0597C998, 24099.7, 2.62996, 3.04762, 200, 105, 741.275, 21, 21, 101.218, 136, 172
0597C998, 24235.7, 2.13027, 4, 200, 80, 727.391, 16, 16, 76.0468, 136, 173
0597C998, 24371.7, 2.57763, 3.04762, 200, 105, 754.803, 21, 21, 103.273, 136, 174
